id_event,Event,Season,Year,NOC,Sport
500,Art Competitions Mixed Sculpturing,Summer,1924,FRA,Art Competitions
501,"Athletics Men's Cross-Country, Individual",Summer,1920,SWE,Athletics
502,"Athletics Men's Cross-Country, Team",Summer,1920,SWE,Athletics
503,Sailing Mixed 40 metres,Summer,1920,SWE,Sailing
504,Cross Country Skiing Men's 10/10 kilometres Pursuit,Winter,2002,NOR,Cross Country Skiing
505,"Ski Jumping Women's Normal Hill, Individual",Winter,2014,GER,Ski Jumping
506,"Short Track Speed Skating Men's 1,000 metres",Winter,2014,USA,Short Track Speed Skating
507,"Short Track Speed Skating Men's 1,500 metres",Winter,2014,USA,Short Track Speed Skating
508,Gymnastics Men's Club Swinging,Summer,1932,MEX,Gymnastics
509,Tennis Women's Singles,Summer,1924,ESP,Tennis
510,Tennis Mixed Doubles,Summer,1924,ESP,Tennis
511,Tennis Women's Doubles,Summer,1924,ESP,Tennis
512,Judo Women's Middleweight,Summer,2008,COL,Judo
513,Judo Women's Lightweight,Summer,1992,BRA,Judo
514,Cross Country Skiing Men's Team Sprint,Winter,2006,RUS,Cross Country Skiing
515,Snowboarding Women's Halfpipe,Winter,2006,FRA,Snowboarding
516,"Canoeing Women's Kayak Singles, 200 metres",Summer,2012,CUB,Canoeing
517,Canoeing Men's Kayak Relay 4 x 500 metres,Summer,1960,FRA,Canoeing
518,"Athletics Men's 3,000 metres, Team",Summer,1912,GER,Athletics
519,Cross Country Skiing Women's Sprint,Winter,2006,CAN,Cross Country Skiing
520,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Summer,1908,GBR,Shooting
521,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Summer,1908,GBR,Shooting
522,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Summer,1908,GBR,Shooting
523,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Summer,1908,GBR,Shooting
524,"Shooting Men's Military Pistol, Team",Summer,1920,SUI,Shooting
525,Rowing Women's Coxed Fours,Summer,1984,KOR,Rowing
526,"Weightlifting Men's Unlimited, One Hand",Summer,1906,GRE,Weightlifting
527,"Canoeing Men's Canadian Singles, 500 metres",Summer,1976,BUL,Canoeing
528,"Fencing Men's Foil, Masters, Individual",Summer,1900,FRA,Fencing
529,"Fencing Men's epee, Masters, Individual",Summer,1900,FRA,Fencing
530,"Gymnastics Men's Individual All-Around, Field Sports",Summer,1904,USA,Gymnastics
531,"Gymnastics Men's Individual All-Around, Apparatus Work",Summer,1904,USA,Gymnastics
532,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Summer,1928,NED,Art Competitions
533,"Fencing Women's epee, Team",Summer,2000,NOR,Fencing
534,"Swimming Men's 4,000 metres Freestyle",Summer,1900,AUT,Swimming
535,Swimming Men's Underwater Swimming,Summer,1900,AUT,Swimming
